Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILKCUKI	25FROG	26GHI	27SALT	28RHOM
%(r3c5)%	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0


%(Base1_alt)%	-	-	-	-	-	KL	-	-	LD	-	-	-	IM	-	-	ST	-
%(Base2_alt)%	-	-	-	-	-	-	-	NI	ND	-	-	-	-	-	-	-	-

%(labelAns_exp1)%	-	AE	-	-	-	JM|MJ|KL|LK	-	-	AN|NA|LD|DL	-	EV|VE	-	LK|KL|IM|MI	-	HI|IH	AL|LA|ST|TS	-
%(labelAns_exp2)%	-	AB	-	-	-	NL|LN	-	-	BD|DB	KE|EK	MV|VM	-	IJ|JI	AG|GA	GJ|JG	SQ|QS	-
%(labelAns_exp3)%	-	BD	---	---	---	-	-	SP|PS|NI|IN	AL|LA|ND|DN	-	-	-	-	-	---	---	-
%(labelAns_exp4)%	-	ED	x	x	x	-	-	ST|TS	AC|CA	-	-	-	-	BG|GB	x	x	-

%(labelBug-selectiona)%	-	question2a	question2a	-	-	question0a	-	question2a	question0a	question0b	question0a	-	question0b	question0b	question0a	question0a	-
%(labelBug-selectionb)%	-	question2b	question2b	-	-	question0a	-	question2b	question0b	question0b	question0a	-	question0a	question0d	question0a	question0a	-
%(labelBug-selectionc)%	-	-	-	-	-	question0b	-	question2a|question2b	question2b	-	question0b	-	question0a	question0b|question0d	question0b	question0b	-
%(labelBug-inputa)%	-	[tT]	[tT]	-	-	NL|LN	-	SN|NS|IP|PI	AL|LA|ND|DN	WE|EW	VO|OV|EO|OE	-	LK|KL|MI|IM	BG|GB	GI|IG|GH|HG	SA|AS|TL|LT	-
%(labelBug-inputb)%	-	[sS]	[sS]	-	-	JK|KJ|ML|LM	-	IJ|JI	AC|CA	KW|WK|SK|KS	MO|OM	-	IJ|JI	AG|GA	GJ|JG	SQ|QS	-
%(labelBug-inputc)%	-	-	-	-	-	JM|MJ|KL|LK	-	TN|NT|NJ|JN	BD|DB	-	MO|OM	-	IL|LI|MK|KM	FB|BF|OA|AO	GI|IG|GH|HG|HI|IH	QA|AQ	-
%(labelBug-msga)%	-	"Wrong. You should enter expression that represents the base.""T"" represents the side adjacent the base."	"Wrong. You should enter expression that represents the base.""T"" represents the side adjacent the base."	-	-	"That side may look like a base because it is horizontal, but is there a base MUST be a side of a parallelogram!"	-	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	"That side CAN be a base, but that is not the side your partner measured for question 1. Make sure you use the base with a known length if you want to calculate the area of LAND"	"That side may look like a height, but is there a base perpendicular to it? The only segment perpendicular to the WE is KE, but KE is not a base because it is not a side of SKW. "	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	-	"That side may look like a height because it is vertical, but is there a base perpendicular to it? Remember, it is base that MUST be a side of a parallelogram, not heights!"	Wrong. That CAN be a height but you must find a height that is perpendicular to base #1. Base #1 is RO; which height is perpendicular to this base?	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	-
%(labelBug-msgb)%	-	"Wrong. You should enter expression that represents the side adjacent ot the base.""S"" represents the base."	"Wrong. You should enter expression that represents the side adjacent ot the base.""S"" represents the base."	-	-	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	-	"That side CAN be a height, but for question 2, this height has an unknown length. You must use the height with a known length in order to find the area of SPIN"	You don't want to use that height! You must use the height that is perpendicular to the base your partner measured! The height you entered is perpendicular to AL and ND.	The side you entered cannot be a height; it doesn't have any side perpendicular to it.	"No, MO cannot be a base. Remember, only a side of the geometry can be a base. Dotted-lines indicate guidelines, not an actual side."	-	"That side may look like a base because it is horizontal, but is there a base MUST be a side of a parallelogram!"	Wrong. That CAN be a height but you must find a height that is perpendicular to base #2. Base #2 is FR; which height is perpendicular to this base?	"No, GJ cannot be a base. Remember, only a side of the geometry can be a base. Dotted-lines indicate guidelines, not an actual side."	"That side may look like a base because it is horizontal, but is there a base MUST be a side of a parallelogram!"	-
%(labelBug-msgc)%	-	-	-	-	-	"That side may look like a height because it is vertical, but is there a base perpendicular to it? Remember, it is base that MUST be a side of a parallelogram, not heights!"	-	"The side you entered is neither a base or a height. It is not a side of a parallelogram, and it does not have a base(a side of a parallelogram) perpendicular to it!"	You don't want to use that height! You must use the height that is perpendicular to the base your partner measured! The height you entered is perpendicular to AN and LD.	-	"That side may look like a height, but is there a base perpendicular to it? The only segment perpendicular to the MO is MV, but MV is not a base because it is not a side of EVO. "	-	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	"That side may look like a height, but the only segment perpendicular to it is a dotted-line segment; that cannot be a base! Base MUST be a side of the parallelogram."	The side you entered cannot be a height; it doesn't have any side perpendicular to it.	"That side may look like a height, but is there a base perpendicular to it? The only segment perpendicular to the QA is SQ, but SQ is not a base because it is not a side of SALT. "	-

%(segBug-selection-all)%	-	-	-	-	-	question1a|question2a|question1b|question3b	question1a|question1b	question1a|question3a|question1b|question3b	question1a|question3a|question1b|question3b	question1a|question1b	question1a|question1b	question1a|question2a|question1b|question2b|question3b|question1c|question3c	question1a|question2a|question1b|question2b|question2c|question1d	question1a|question2a|question1b|question2b|question3b|question1c|question3c|question2d	question1a|question1b|	question1a|question3a|question1b|question2b	-

%(Ans1_a)%	ED	AE	FE	FA	RO	JM	AC	SN	AN	SW	EV	NT	LK	RO	HI	AL	HO
%(Ans1_b)%	BC	AB	FI	FS	OP	NL	DC	IJ	BD	KE	MV	NE	IJ	AG	GJ	SQ	NM
%(Ans1_c)%	---	BD	---	---	---	---	---	SP	AL	---	---	MN	IK	FR	---	---	---
%(Ans1_d)%	x	ED	x	x	x	x	x	ST	AC	x	x	---	UV	BG	x	x	---

%(Ans2_a)%	5	6	6	8	40	7.2	7.1	3	10	10	6.9	5.5	90	27	8.5	0.15	24
%(Ans2_b)%	3	14	4.5	3	12	6	5	5.5	16	20	5.5	9	60	9.5	16.4	0.35	17
%(Ans2_c)%	15	6	21	24	480	43.2	35.5	16.5	160	100	18.975	6	540	9	69.7	0.0525	96
%(Ans2_d)%	-	14	-	-	-	-	-	-	-	-	-	29	10	x	-	-	408
%(Ans2_e)%	-	40	-	-	-	-	-	-	-	-	-	33	5400	256.5	-	-	-

%(Ans3_a)%	9	S	[sS]	-	10	6	-	SP|PS|NI|IN	AL|LA|ND|DN	-	-	10	15	x	-	2	-
%(Ans3_b)%	10	T	[tT]	-	7.2	4	-	ST|TS	AC|CA	-	-	12	20	6	-	1.7	-
%(Ans3_c)%	90	S	2*(S+T)	-	72	24	-	---	---	-	-	5	50	9	-	3.4	-
%(Ans3_d)%	-	T	-	-	-	-	-	-	-	-	-	44	6	10	-	-	-
%(Ans3_e)%	-	2*(S+T)	-	-	-	-	-	-	-	-	-	50	300	90	-	-	-

%(Ans4_a)%	5	-	-	-	15	12	-	6.6	9	-	-	16.5	-	5	-	2	-
%(Ans4_b)%	6	-	-	-	3	8	-	2.5	12	-	-	7	-	1.4	-	2.1	-
%(Ans4_c)%	30	-	-	-	45	96	-	16.5	108	-	-	6	-	2	-	4.2	-
%(Ans4_d)%	-	-	-	-	-	-	-	-	-	-	-	40	-	3.5	-	-	-
%(Ans4_e)%	-	-	-	-	-	-	-	-	-	-	-	99	-	7	-	-	-

%(Ans1a_hint1)%	-	-	-	-	-	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. You can start by finding a perpendicular pair of segments. "	-	-	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. But since you want to calculate LAND's area, it is better to choose a side with a known length. "	-	"The triangle's base should be perpendicular to the height. This means, you can find the base by looking for a pair of perpendicular segments."	-	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. You can start by finding a perpendicular pair of segments. "	-	"The triangle's base should be perpendicular to the height. This means, you can find the base by looking for a pair of perpendicular segments."	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. You can start by finding a perpendicular pair of segments. "	-
%(Ans1a_hint2)%	-	-	-	-	-	"Notice a tiny square on the point where JM and NL meet. This means they are perpendicular to each other. Now, which one is the base?"	-	-	Your partner measured only one side according to Question1. That means you can only use the length of that side to calculate the area. What is the side your partner measured?	-	"There are small squares on point V and M. The small square at point V describe that EV and MV are a perpendicular pair, and the small sqaure at point M describes that VM and MO are a perpendicular pair. "	-	"Notice a tiny square on the point where LK and IJ meet. This means they are perpendicular to each other. Now, which one is the base?"	-	"Notice a tiny square on the point where HI and GJ meet. This means they are perpendicular to each other. Now, which one is the base?"	"Notice a tiny square on the point where AL and SQ meet. This means they are perpendicular to each other. Now, which one is the base?"	-
%(Ans1a_hint3)%	-	-	-	-	-	Base must be a side of a parallelogram! Which segment is a side of the parallelogram JKLM? JM or NL?	-	-	"Your partner only measured AN, but if you don't like that side, you can also use LD as your base. Parallel segment pairs on a parallelograms have the same length, and are perpendicular to the same height!"	-	"MO is not a side a of a triangle, so the perpendicular pair VM and MO is useless! You should use the perpendicular pair EV and MV to find which segment is the base."	-	Base must be a side of a parallelogram! Which segment is a side of the parallelogram MILK? LK or IJ?	-	Base must be a side of a triangle! Which segment is a side of the triangle GHI? HI or GJ?	Base must be a side of a parallelogram! Which segment is a side of the parallelogram SALT? AL or SQ?	-
%(Ans1a_hint4)%	-	-	-	-	-	"JM is a side of the parallelogram, with a perpendicular segment, NL, as a friend. Try JM as the base."	-	-	Enter either AN or LD into the highlighted field.	-	"EV is the base because it is a side of the triangle, and it is perpendicular to the height. Enter EV into the highlighted area."	-	"LK is a side of the parallelogram, with a perpendicular segment, IJ, as a friend. Try LK as the base."	-	"HI is a side of the triangle, with a height perpendicular to it. Try HI as a base."	"AL is a side of the parallelogram, with a perpendicular segment, SQ, as a friend. Try AL as the base."	-
%(Ans1b_hint1)%	-	-	-	-	-	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-	-	"There are two possible heights in this problem. Your partner only measured AN, so you should find the height that is perpendicular to AN."	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	The base #1 (RO) is already labeled for you! All you have to do is find the height that is perpendicular to the base #1 (RO).	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-
%(Ans1b_hint2)%	-	-	-	-	-	"Notice a tiny square on the point where JM and NL meet. This means they are perpendicular to each other. Now, which one is the height?"	-	-	You can find perpendicular segments by looking for the right angle symbol; it looks like tiny squares. But the segment AN is nowhere near them. Does this mean AN is not perpendicular to anything?	"Notice a tiny square on the point where SW and KE meet. This means they are perpendicular to each other. Now, which one is the height?"	"Notice a tiny square on the point where EV and MV meet. This means they are perpendicular to each other. Now, which one is the height?"	-	"Notice a tiny square on the point where LK and IJ meet. This means they are perpendicular to each other. Now, which one is the height?"	"Having trouble finding the height perpendicular to base #1 (RO)? Sometimes, heights are displayed outside of the parallelogram, and can be confusing. When this happens, a dotted line is used to get the height to be connected with a base."	"Notice a tiny square on the point where HI and GJ meet. This means they are perpendicular to each other. Now, which one is the height?"	"Notice a tiny square on the point where AL and SQ meet. This means they are perpendicular to each other. Now, which one is the height?"	-
