Problem Name	00Intro	02Banquet	03Goodies	05College	01Automobile	04Disguises	06Clothes
%(q3)%	"3. Jen is not satisfied with just 160 different outfits. So, she has made 2 new pairs of pants for her doll. How many different ways can her doll dress up now?"	3. Suppose you don't order desserts at all. How many dinners are still possible?	"3. If she has 1 more of each type of the items she originally had, how many different goodie bags can she make?"	3. Suppose the camp completely eliminates team sports and does not reduce the number of handicrafts. How many different programs would be available to campers?	"3. If Apex offers one engine size, and keeps the current numbers of interior colors and wheel types, how many different exterior colors would the company need to offer 120 available variations?"	"3. Sam lost track of the number of hats that he has, but he knows he can make 100 disguises. How many hats does he have?"	"3. Fred finally made up his mind and brought 5 shirts, 3 pairs of shorts for the vacation, but cannot remember how many caps he brought. If he knows that he can make 60 outfits, how many caps did he bring?"
%(event1)%	Hats	Appetizers	Types of chocolate bars	Academic classes	Exterior colors	Wigs	Shirts
%(event2)%	Bags	Main courses	Flavors of lollipops	Team sports	Interior colors	Pairs of eyeglasses	Pairs of shorts
%(event3)%	Shirts	Vegetables	Types of cookies	Handicrafts	Wheel types	Hats	Caps
%(event4)%	Pairs of pants	Beverages	Types of fruit	Water sports	Engine sizes	-	-
%(event5)%	Pairs of shoes	Desserts	-	-	-	-	-
							
%(ans)%	Expression for number of possible outfits	Expression for number of possible dinners	Expression for number of different goodie bags	Expression for number of different programs	Expression for number of available variations	Expression for number of possible disguises	Expression for number of possible outfits
%(ans-final)%	Number of possible outfits	Number of possible dinners	Number of different goodie bags	Number of different programs	Number of available variations	Number of possible disguises	Number of possible outfits
							
%(n11)%	2	4	2	5	5	4	4
%(Col1-h)%	-	What was the original number of appetizers? Was any change in this number mentioned in the question?	What was the original number of types of chocolate bars? Was any change in this number mentioned in the question?	What was the original number of academic classes? Was any change in this number mentioned in the question?	What was the original number of exterior colors? Was any change in this number mentioned in the question?	What was the original number of wigs? Was any change in this number mentioned in the question?	What was the original number of shirts? Was any change in this number mentioned in the question?
%(n12)%	5	5	2	6	4	5	3
%(Col2-h)%	-	What was the original number of main courses? Was any change in this number mentioned in the question?	What was the original number of flavors of lollipops? Was any change in this number mentioned in the question?	What was the original number of team sports? Was any change in this number mentioned in the question?	What was the original number of interior colors? Was any change in this number mentioned in the question?	What was the original number of pairs of eyeglasses? Was any change in this number mentioned in the question?	What was the original number of pairs of shorts? Was any change in this number mentioned in the question?
%(n13)%	3	3	2	10	3	1	1
%(Col3-h)%	-	What was the original number of vegetables? Was any change in this number mentioned in the question?	What was the original number of types of cookies? Was any change in this number mentioned in the question?	What was the original number of handicrafts? Was any change in this number mentioned in the question?	What was the original number of wheel types? Was any change in this number mentioned in the question?	What was the original number of hats? Was any change in this number mentioned in the question?	What was the original number of caps? Was any change in this number mentioned in the question?
%(n14)%	2	3	2	4	1	-	-
%(Col4-h)%	-	What was the original number of beverages? Was any change in this number mentioned in the question?	What was the original number of types of fruits? Was any change in this number mentioned in the question?	What was the original number of water activities? Was any change in this number mentioned in the question?	What was the original number of engine sizes? Was any change in this number mentioned in the question?	-	-
%(n15)%	2	6	-	-	-	-	-
%(Col5-h)%	-	What was the original number of desserts? Was any change in this number mentioned in the question?	-	-	-	-	-
%(ans1)%	2*5*3*2*2	4*5*3*3*6	2*2*2*2	5*6*10*4	5*4*3*1	4*5*1	4*3*1
%(ans1-condition)%	Q1C1	"Q1C1,Q1C2,Q1C3,Q1C4,Q1C5"	"Q1C1,Q1C2,Q1C3,Q1C4"	"Q1C1,Q1C2,Q1C3,Q1C4"	"Q1C1,Q1C2,Q1C3,Q1C4"	"Q1C1,Q1C2,Q1C3"	"Q1C1,Q1C2,Q1C3"
%(ans1-ev)%	120	1080	16	1200	60	20	12
%(ansh1)%	-	Try multiplying all possible dinner items.	Try multiplying all types of goodies.	Try multiplying all available programs.	Try multiplying all available options.	Try multiplying all available disguise items.	Try multiplying all available clothing items.
%(ans4h)%	-	"The number of possible dinners is equal to the product of the number of appetizers, main courses, vegetables, beverages, and desserts."	"The number of possible goodie bags is equal to the product of the number of types or flavors of chocolate bars, lollipops, cookies, and fruits."	"The number of available programs is equal to the product of the number of academic classes, team sports, handicrafts, and water activities."	"The number of possible combinations is equal to the product of the number of exterior colors, interior colors, sound systems, and the engines."	"The number of possible disguises is equal to the product of the number of wigs, pairs of eyeglasses, hats."	"The number of possible outfits is equal to the product of the number of shirts, pairs of shorts, and caps."
							
%(n21)%	2	4	2	5	8	4	5
%(n22)%	5	5	4	3	4	5	2
%(n23)%	4	3	4	5	3	3	1
%(n24)%	2	3	2	4	2	-	-
%(n25)%	2	5	-	-	-	-	-
%(ans2)%	2*5*?*2*2	4*5*3*3*5	2*4*4*2	5*3*5*4	8*4*3*2	4*5*3	5*2*1
%(ans2-condition)%	Q2C1	"Q2C1,Q2C2,Q2C3,Q2C4,Q2C5"	"Q2C1,Q2C2,Q2C3,Q2C4"	"Q2C1,Q2C2,Q2C3,Q2C4"	"Q2C1,Q2C2,Q2C3,Q2C4"	"Q2C1,Q2C2,Q2C3"	"Q2C1,Q2C2,Q2C3"
%(ans2-ev)%	160	900	64	300	192	60	10
%(ansh2)%	-	Try multiplying all possible dinner items. 	Try multiplying all types of goodies. 	Try multiplying all available programs.	Try multiplying all available options.	Try multiplying all available disguise items.	Try multiplying all available clothing items.
%(ans5h)%	-	"The number of possible dinners is equal to the product of the number of appetizers, main courses, vegetables, beverages, and desserts."	"The number of possible goodie bags is equal to the product of the number of types or flavors of chocolate bars, lollipops, cookies, and fruits."	"The number of available programs is equal to the product of the number of academic classes, team sports, handicrafts, and water activities."	"The number of possible combinations is equal to the product of the number of exterior colors, interior colors, sound systems, and the engines."	"The number of possible disguises is equal to the product of the number of wigs, pairs of eyeglasses, hats."	"The number of possible outfits is equal to the product of the number of shirts, pairs of shorts, and caps."
							
%(n31-selec)%	Q3C1	Q3C1	Q3C1	Q3C1	Q3C2	Q3C1	Q3C1
%(n31)%	2	4	3	5	4	4	5
%(n32-selec)%	Q3C2	Q3C2	Q3C2	Q3C3	Q3C3	Q3C2	Q3C2
%(n32)%	5	5	3	10	3	5	3
%(n33-selec)%	Q3C3	Q3C3	Q3C3	Q3C4	Q3C4	-	-
%(n33)%	4	3	3	4	1	-	-
%(n34-selec)%	Q3C4	Q3C4	Q3C4	-	-	-	-
%(n34)%	4	3	3	-	-	-	-
%(n35)%	2	-	-	-	-	-	-
%(ans3)%	2*5*4*%(n34)%*%(n35)%	4*5*3*3	3*3*3*3	5*10*4	10*4*3*1	4*5*5	5*3*4
%(ans3-condition)%	Q3C1	"Q3C1,Q3C2,Q3C3,Q3C4"	"Q3C1,Q3C2,Q3C3,Q3C4"	"Q3C1,Q3C3,Q3C4"	x	x	x
%(ans3-ev)%	320	180	81	200	120	100	60
%(ansh3)%	-	Try multiplying all available dinner items. 	Try multiplying all available types of goodies. 	Try multiplying all available programs.	-	-	-
%(solv-selec)%	-	-	-	-	Q3C1	Q3C3	Q3C3
%(solv-ans)%	-	-	-	-	10	5	4
%(solv-unknownExp)%	-	-	-	-	?*4*3*1	4*5*?	5*3*?
%(solv-div)%	-	-	-	-	12	20	15
%(solv-mm)%	0	0	0	0	1	1	1
%(noSolv-mm)%	1	1	1	1	0	0	0
							
%(ans6h)%	-	"The number of possible dinners is equal to the product of the number of appetizers, main courses, vegetables, and beverages."	"The number of possible goodie bags is equal to the product of the number of types or flavors of chocolate bars, lollipops, cookies, and fruits."	"The number of available programs is equal to the product of the number of academic classes, handicrafts, and water activities."	-	-	-
%(none-h)%	-	Remember that one of the choices of the dinner is not available!	"The number of available variations is equal to the product of the number of types or flavors of chocolate bars, lollipops, cookies, and fruits."	Remember that one of the choices of program is not available!	-	-	-
%(Row3Col1-h)%	-	What was the original number of appetizers? Was any change in this number mentioned in the question?	What was the original number of types of chocolate bars? Was any change in this number mentioned in the question?	What was the original number of academic classes? Was any change in this number mentioned in the question?	What was the original number of interior colors? Was any change in this number mentioned in the question?	What was the original number of wigs? Was any change in this number mentioned in the question?	What was the original number of shirts? Was any change in this number mentioned in the question?
%(Row3Col2-h)%	-	What was the original number of main courses? Was any change in this number mentioned in the question?	What was the original number of flavors of lollipops? Was any change in this number mentioned in the question?	What was the original number of team sports? Was any change in this number mentioned in the question?	What was the original number of wheel types? Was any change in this number mentioned in the question?	What was the original number of pairs of eyeglasses? Was any change in this number mentioned in the question?	What was the original number of pairs of shorts? Was any change in this number mentioned in the question?
%(Row3Col3-h)%	-	What was the original number of vegetables? Was any change in this number mentioned in the question?	What was the original number of types of cookies? Was any change in this number mentioned in the question?	What was the original number of handicrafts? Was any change in this number mentioned in the question?	What was the original number of engine sizes? Was any change in this number mentioned in the question?	-	-
%(Row3Col4-h)%	-	What was the original number of beverages? Was any change in this number mentioned in the question?	What was the original number of types of fruits? Was any change in this number mentioned in the question?	What was the original number of water activities? Was any change in this number mentioned in the question?	-	-	-
%(Row3Col5-h)%	-	What was the original number of desserts? Was any change in this number mentioned in the question?	-	-	-	-	-
%(readQ3)%	-	-	-	-	the company need to offer 120 available variations	but he knows he can make 100 disguises. 	If he knows that he can make 60 outfits
%(solve-h1)%	-	-	-	-	"<%=ifThen(hasValue(Q3C2,Q3C3,Q3C4,Ans6),""How many exterior colors would you need in order to have 120 total combinations?"",""You need to solve for the number of exterior colors. Try dividing the total number of variations by the product of the known options."")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""How many hats would you need in order to have 100 total combinations?"",""You need to solve for the number of hats. Try dividing the total number of variations by the product of the known options."")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""How many caps would you need in order to have 60 total combinations?"",""You need to solve for the number of caps. Try dividing the total number of variations by the product of the known options."")%>"
%(solve-hint-condition)%	-	-	-	-	"Q3C2,Q3C3,Q3C4,Ans6"	"Q3C1,Q3C2,Ans6"	"Q3C1,Q3C2,Ans6"
							
%(goodjob)%	-	Good job!	Good job!	Great work! You helped the camp administrators prepare for their campers.	Good Job!	Great job! You helped Sam plan his disguises.	Good job! You helped Fred make up his mind.
%(solv-success)%	-	-	-	-	Correct! You figured out how many Exterior Colors the company needs!	Correct! You helped Sam find out how many hats he has.	Correct! You helped Fred find out how many caps he has.
%(col4-mm)%	1	1	1	1	1	0	0
%(col5-mm)%	1	1	0	0	0	0	0
%(visible1)%	removeClass	removeClass	removeClass	removeClass	removeClass	addClass	addClass
%(visible2)%	removeClass	removeClass	addClass	addClass	addClass	addClass	addClass
							
%(q3c1-mm)%	1	1	1	1	1	1	1
%(q3c2-mm)%	1	1	1	0	1	1	1
%(q3c3-mm)%	1	1	1	1	1	1	0
%(q3c4-mm)%	1	1	1	1	0	0	0
%(q3c5-mm)%	1	0	0	0	0	0	0
							
%(q3exp-mm)%	1	1	1	1	0	0	0
							
%(chng21)%	given-entered	given-entered	given-entered	given-entered	changed-given-entered	given-entered	changed-given-entered
%(chng22)%	given-entered	given-entered	changed-given-entered	changed-given-entered	given-entered	given-entered	changed-given-entered
%(chng23)%	given-entered	given-entered	changed-given-entered	changed-given-entered	given-entered	changed-given-entered	given-entered
%(chng24)%	given-entered	given-entered	given-entered	given-entered	changed-given-entered	given-entered	given-entered
%(chng25)%	given-entered	changed-given-entered	given-entered	given-entered	given-entered	given-entered	given-entered
%(chng21_label)%	Enter given	Enter given	Enter given	Enter given	Enter changed given	Enter given	Enter changed given
%(chng22_label)%	Enter given	Enter given	Enter changed given	Enter changed given	Enter given	Enter given	Enter changed given
%(chng23_label)%	Enter given	Enter given	Enter changed given	Enter changed given	Enter given	Enter changed given	Enter given
%(chng24_label)%	Enter given	Enter given	Enter given	Enter given	Enter changed given	Enter given	Enter given
%(chng25_label)%	Enter given	Enter changed given	Enter given	Enter given	Enter given	Enter given	Enter given
							
%(chng31)%	given-entered	given-entered	changed-given-entered	given-entered	given-entered	given-entered	changed-given-entered
%(chng32)%	given-entered	given-entered	changed-given-entered	given-entered	given-entered	given-entered	changed-given-entered
%(chng33)%	given-entered	given-entered	changed-given-entered	given-entered	given-entered	solve-component	solve-component
%(chng34)%	given-entered	given-entered	changed-given-entered	given-entered	solve-component	given-entered	given-entered
%(chng35)%	given-entered	given-entered	given-entered	given-entered	given-entered	given-entered	given-entered
%(chng31_label)%	Enter given	Enter given	Enter changed given	Enter given	Enter given	Enter given	Enter changed given
%(chng32_label)%	Enter given	Enter given	Enter changed given	Enter given	Enter given	Enter given	Enter changed given
%(chng33_label)%	Enter given	Enter given	Enter changed given	Enter given	Enter given	Solve component	Solve component
%(chng34_label)%	Enter given	Enter given	Enter changed given	Enter given	Solve component	Enter given	Enter given
%(chng35_label)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
							
%(preFill1)%	Ans2	Q3C5	x	Q3C2	Ans3	Ans3	Ans3
%(preFill_content1)%	2*5*?*2*2	none	x	none	?*4*3*1	4*5*?	5*3*?
%(preFill2)%	Ans5	x	x	x	x	x	x
%(preFill_content2)%	160	x	x	x	x	x	x
%(-3246010123169734158)%	Please enter '2' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.
%(393126431410399881)%	-	What was the original number of vegetables? Was any change in this number mentioned in the question?	What was the original number of types of cookies? Was any change in this number mentioned in the question?	What was the original number of handicrafts? Was any change in this number mentioned in the question?	What was the original number of wheel types? Was any change in this number mentioned in the question?	What was the original number of hats? Was any change in this number mentioned in the question?	What was the original number of caps? Was any change in this number mentioned in the question?
%(-5572976207895132051)%	"<%=ifThen(hasValue(Q3C1),""Please enter '2*5*4*4*2' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Q3C3,Q3C4),""Please enter '4*5*3*3' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Q3C3,Q3C4),""Please enter '3*3*3*3' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C3,Q3C4),""Please enter '5*10*4' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(x),""Please enter '10*4*3*1' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(x),""Please enter '4*5*5' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(x),""Please enter '5*3*4' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"
%(1201837057939630446)%	"<%=ifThen(hasValue(Ans3),""Please enter '320' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible outfits', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans3),""Please enter '180' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible dinners', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans3),""Please enter '81' in the highlighted field."",""Enter the correct expression under 'Expression for number of different goodie bags', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans3),""Please enter '200' in the highlighted field."",""Enter the correct expression under 'Expression for number of different programs', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans3),""Please enter '120' in the highlighted field."",""Enter the correct expression under 'Expression for number of available variations', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans3),""Please enter '100' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible disguises', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans3),""Please enter '60' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible outfits', and then come back to the highlighted field to evaluate it!"")%>"
%(6713363849030946097)%	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.
%(5976255819999852437)%	"<%=ifThen(hasValue(Ans3),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans3),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans3),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans3),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans3),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans3),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans3),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"
%(-7491757130451108372)%	-	"The number of possible dinners is equal to the product of the number of appetizers, main courses, vegetables, and beverages."	"The number of possible goodie bags is equal to the product of the number of types or flavors of chocolate bars, lollipops, cookies, and fruits."	"The number of available programs is equal to the product of the number of academic classes, handicrafts, and water activities."	-	-	-
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(-3328018650886619043)%	"<%=ifThen(hasValue(Q2C1),""-"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3,Q2C4,Q2C5),""Try multiplying all possible dinner items. "",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3,Q2C4),""Try multiplying all types of goodies. "",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3,Q2C4),""Try multiplying all available programs."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3,Q2C4),""Try multiplying all available options."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3),""Try multiplying all available disguise items."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3),""Try multiplying all available clothing items."",""Are you sure you are ready to do this part?"")%>"
%(1931018554046238151)%	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.
%(-5491723130301108182)%	-	"The number of possible dinners is equal to the product of the number of appetizers, main courses, vegetables, beverages, and desserts."	"The number of possible goodie bags is equal to the product of the number of types or flavors of chocolate bars, lollipops, cookies, and fruits."	"The number of available programs is equal to the product of the number of academic classes, team sports, handicrafts, and water activities."	"The number of possible combinations is equal to the product of the number of exterior colors, interior colors, sound systems, and the engines."	"The number of possible disguises is equal to the product of the number of wigs, pairs of eyeglasses, hats."	"The number of possible outfits is equal to the product of the number of shirts, pairs of shorts, and caps."
%(8366020159192172819)%	"<%=ifThen(hasValue(-),""320/- = -. Please enter '-' in the highlighted field."",""Make sure you have filled in the rest of fields in this row before coming back to this highlighted field!"")%>"	"<%=ifThen(hasValue(-),""180/- = -. Please enter '-' in the highlighted field."",""Make sure you have filled in the rest of fields in this row before coming back to this highlighted field!"")%>"	"<%=ifThen(hasValue(-),""81/- = -. Please enter '-' in the highlighted field."",""Make sure you have filled in the rest of fields in this row before coming back to this highlighted field!"")%>"	"<%=ifThen(hasValue(-),""200/- = -. Please enter '-' in the highlighted field."",""Make sure you have filled in the rest of fields in this row before coming back to this highlighted field!"")%>"	"<%=ifThen(hasValue(Q3C2,Q3C3,Q3C4,Ans6),""120/12 = 10. Please enter '10' in the highlighted field."",""Make sure you have filled in the rest of fields in this row before coming back to this highlighted field!"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""100/20 = 5. Please enter '5' in the highlighted field."",""Make sure you have filled in the rest of fields in this row before coming back to this highlighted field!"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""60/15 = 4. Please enter '4' in the highlighted field."",""Make sure you have filled in the rest of fields in this row before coming back to this highlighted field!"")%>"
%(-1803286757190382865)%	"<%=ifThen(hasValue(Ans1),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans1),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans1),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans1),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans1),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans1),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans1),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"
%(2644080468212430933)%	"You've done everything correctly. Click on the ""done"" button to move on!"	"You've done everything correctly. Click on the ""done"" button to move on!"	"You've done everything correctly. Click on the ""done"" button to move on!"	"You've done everything correctly. Click on the ""done"" button to move on!"	"You've done everything correctly. Click on the ""done"" button to move on!"	"You've done everything correctly. Click on the ""done"" button to move on!"	"You've done everything correctly. Click on the ""done"" button to move on!"
%(-4099230463346982632)%	-	Good job!	Good job!	Great work! You helped the camp administrators prepare for their campers.	Good Job!	Great job! You helped Sam plan his disguises.	Good job! You helped Fred make up his mind.
%(-1934125337180675039)%	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.
%(-6491876131174109443)%	-	"The number of possible dinners is equal to the product of the number of appetizers, main courses, vegetables, beverages, and desserts."	"The number of possible goodie bags is equal to the product of the number of types or flavors of chocolate bars, lollipops, cookies, and fruits."	"The number of available programs is equal to the product of the number of academic classes, team sports, handicrafts, and water activities."	"The number of possible combinations is equal to the product of the number of exterior colors, interior colors, sound systems, and the engines."	"The number of possible disguises is equal to the product of the number of wigs, pairs of eyeglasses, hats."	"The number of possible outfits is equal to the product of the number of shirts, pairs of shorts, and caps."
%(-5178299097369867872)%	Did the question tell you any changes in the original list of items?	Did the question tell you any changes in the original list of items?	Did the question tell you any changes in the original list of items?	Did the question tell you any changes in the original list of items?	Did the question tell you any changes in the original list of items?	Did the question tell you any changes in the original list of items?	Did the question tell you any changes in the original list of items?
