Problem Name	s1p1	s2p1	s2p2	s2p3	s2p4
%(-6822438904973603242)%	Your expression was 1/0.1, so divide to determine the result.	Your expression was 16/0.8, so divide to determine the result.	Your expression was 0.75/0.25, so divide to determine the result.	Your expression was 4.05/0.45, so divide to determine the result.	Your expression was 3/0.75, so divide to determine the result.
%(3418055856721065503)%	Enter a letter of the alphabet.	Enter a letter of the alphabet.	Enter a letter of the alphabet.	Enter a letter of the alphabet.	Enter a letter of the alphabet.
%(-5828433665657070678)%	The Number of meatballs Peter can make is 10.	The Number of cookies Suzie can make is 20.	The Number of laps they swim is 3.	The Number of candy bars she can buy is 9.	The Number of jugs Leah needs is 4.
%(-833285083412050405)%	Give the division expression you can use to determine the Number of meatballs Peter can make for option 2.	Give the division expression you can use to determine the Number of cookies Suzie can make for option 2.	Give the division expression you can use to determine the Number of laps they swim for option 2.	Give the division expression you can use to determine the Number of candy bars she can buy for option 2.	Give the division expression you can use to determine the Number of jugs Leah needs for option 2.
%(-1966360590020500534)%	Here, you need to enter an expression to determine the answer, using your variable.	Here, you need to enter an expression to determine the answer, using your variable.	Here, you need to enter an expression to determine the answer, using your variable.	Here, you need to enter an expression to determine the answer, using your variable.	Here, you need to enter an expression to determine the answer, using your variable.
%(-6866691362811848397)%	Enter the Total pounds of ground beef given for Option 1 above.	Enter the Total ounces of cookie dough given for Option 1 above.	Enter the Time available for relay (minutes) given for Option 1 above.	Enter the Amount of money Angela has ($) given for Option 1 above.	Enter the Gallons of milk Leah has given for Option 1 above.
%(1226559118756885614)%	Evaluate the expression you entered in the previous column.	Evaluate the expression you entered in the previous column.	Evaluate the expression you entered in the previous column.	Evaluate the expression you entered in the previous column.	Evaluate the expression you entered in the previous column.
%(-833285083413050274)%	Give the division expression you can use to determine the Number of meatballs Peter can make for option 1.	Give the division expression you can use to determine the Number of cookies Suzie can make for option 1.	Give the division expression you can use to determine the Number of laps they swim for option 1.	Give the division expression you can use to determine the Number of candy bars she can buy for option 1.	Give the division expression you can use to determine the Number of jugs Leah needs for option 1.
%(54533471685755666)%	A variable is a letter that represents a currently unknown number.	A variable is a letter that represents a currently unknown number.	A variable is a letter that represents a currently unknown number.	A variable is a letter that represents a currently unknown number.	A variable is a letter that represents a currently unknown number.
%(7712808415960788785)%	Your expression was 2.3/0.1, so divide to determine the result.	Your expression was 24/0.8, so divide to determine the result.	Your expression was 1/0.25, so divide to determine the result.	Your expression was 2.25/0.45, so divide to determine the result.	Your expression was 4.5/0.75, so divide to determine the result.
%(7185682377202179047)%	Please enter '1/0.1' in the highlighted field.	Please enter '16/0.8' in the highlighted field.	Please enter '0.75/0.25' in the highlighted field.	Please enter '4.05/0.45' in the highlighted field.	Please enter '3/0.75' in the highlighted field.
%(929847744236384305)%	The Total pounds of ground beef for option 2 is 2.3.	The Total ounces of cookie dough for option 2 is 24.	The Time available for relay (minutes) for option 2 is 1.	The Amount of money Angela has ($) for option 2 is 2.25.	The Gallons of milk Leah has for option 2 is 4.5.
%(-397563311659175491)%	You have entered the final answer. This number goes in the last column. Please show how you found your answer.	You have entered the final answer. This number goes in the last column. Please show how you found your answer.	You have entered the final answer. This number goes in the last column. Please show how you found your answer.	You have entered the final answer. This number goes in the last column. Please show how you found your answer.	You have entered the final answer. This number goes in the last column. Please show how you found your answer.
%(-612590970678066121)%	Your variable represents the total. What did you do in the chart above to get your answer? This should be similar to the 'show your work' column.	Your variable represents the total. What did you do in the chart above to get your answer? This should be similar to the 'show your work' column.	Your variable represents the total. What did you do in the chart above to get your answer? This should be similar to the 'show your work' column.	Your variable represents the total. What did you do in the chart above to get your answer? This should be similar to the 'show your work' column.	Your variable represents the total. What did you do in the chart above to get your answer? This should be similar to the 'show your work' column.
%(-7502350194545549107)%	The Total pounds of ground beef for option 1 is 1.	The Total ounces of cookie dough for option 1 is 16.	The Time available for relay (minutes) for option 1 is 0.75.	The Amount of money Angela has ($) for option 1 is 4.05.	The Gallons of milk Leah has for option 1 is 3.
%(6395926185496258464)%	Before entering an expression, please decide what variable you would like to use by entering one in the box to the left.	Before entering an expression, please decide what variable you would like to use by entering one in the box to the left.	Before entering an expression, please decide what variable you would like to use by entering one in the box to the left.	Before entering an expression, please decide what variable you would like to use by entering one in the box to the left.	Before entering an expression, please decide what variable you would like to use by entering one in the box to the left.
%(-7688418449502694788)%	Please enter <%= variable%>/0.1.	Please enter <%= variable%>/0.8.	Please enter <%= variable%>/0.25.	Please enter <%= variable%>/0.45.	Please enter <%= variable%>/0.75.
%(-5788787294164450842)%	Enter the Total pounds of ground beef given for Option 2 above.	Enter the Total ounces of cookie dough given for Option 2 above.	Enter the Time available for relay (minutes) given for Option 2 above.	Enter the Amount of money Angela has ($) given for Option 2 above.	Enter the Gallons of milk Leah has given for Option 2 above.
%(8834917002685457302)%	Please enter 'asdf' in the highlighted field.	Please enter 'asdf' in the highlighted field.	Please enter 'asdf' in the highlighted field.	Please enter 'asdf' in the highlighted field.	Please enter 'asdf' in the highlighted field.
%(8232584218377674868)%	Your expression should be in the form a/b where a and b are rational numbers. (Ex. 1/2, 5.6/0.05, 1/0.5, etc.)	Your expression should be in the form a/b where a and b are rational numbers. (Ex. 1/2, 5.6/0.05, 1/0.5, etc.)	Your expression should be in the form a/b where a and b are rational numbers. (Ex. 1/2, 5.6/0.05, 1/0.5, etc.)	Your expression should be in the form a/b where a and b are rational numbers. (Ex. 1/2, 5.6/0.05, 1/0.5, etc.)	Your expression should be in the form a/b where a and b are rational numbers. (Ex. 1/2, 5.6/0.05, 1/0.5, etc.)
