Problem Name	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9	Problem10
%(unit2)%	dollars	dollars	dollars	dollars	boxes	dollars	dollars	dollars	dollars	servings
										
%(given1)%	5	60	120	2	130	10	80	8	38	240
%(given2)%	6	80	200	3	260	20	120	12	52	138
%(given3)%	7	100	220	4	520	30	260	20	67	300
%(given4)%	200	200	1800	33	47	200	2150	58	483	146
										
%(factor)%	10	4	10	5	13	5	2	1.50	6	3
%(constant)%	20	150	-1200	3	-3	-50	1300	16	-33	-12
%(quan3)%	the amount of money that you save each week	the number of ways Audra spends her allowance	the cost of each ticket	the cost of each game bowled	the number of cupcakes in each box	the amount of money Jenny earns for each hour worked	the amount donated from each burger	the cost of each book	the amount earned for each hour worked	the number of bananas used for one serving
%(quan4)%	the amount of money you start with	the amount of money Audra has in savings initially	the cost of production	the cost to rent a pair of bowling shoes	boxes saved to take home	the amount Jenny spent on herself	the amount of money in the fund initially	the amount already saved	the amount deducted from each paycheck for benefits	servings saved for the night staff
										
%(ans1)%	70	165	0	13	7	0	1460	28	195	68
%(ans2)%	80	170	800	18	17	50	1540	34	279	34
%(ans3)%	90	175	1000	23	37	100	1820	46	369	88
%(ans4)%	18	200	300	6	850	50	375	28	86	474
										
%(variable)%	x	x	x	x	x	x	x	x	x	x
										
%(exp1)%	(10*5) + 20	(60/4) + 150	(10*120) - 1200	(2*5) + 3	(130/13) - 3	(10*5) - 50	(80*2) + 1300	(8*1.50) + 16	(38*6) - 33	(240/3) - 12
%(exp2)%	(10*6) + 20	(80/4) + 150	(10*200) - 1200	(3*5) + 3	(260/13) - 3	(20*5) - 50	(120*2) + 1300	(12*1.50) + 16	(52*6) - 33	(138/3) - 12
%(exp3)%	(10*7) + 20	(100/4) + 150	(10*220) - 1200	(4*5) + 3	(520/13) - 3	(30*5) - 50	(260*2) + 1300	(20*1.50) + 16	(67*6) - 33	(300/3) - 12
%(exp4)%	(200-20)/10	(200-150)*4	(1800+1200)/10	(33-3)/5	(47+3)*13	(200+50)/5	(2150-1300)/2	(58-16)/1.50	(483+33)/6	(146+12)*3
%(expression)%	*10 + 20	/4 + 150	*10 - 1200	*5 + 3	/13 - 3	*5 - 50	*2 + 1300	*1.5 + 16	*6 - 33	/3 - 12
%(expression_bug)%	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.	Please enter a variable before trying to enter an expression.
										
%(q1hint1c1)%	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question. What do you already know from the question?
%(q1hint2c1)%	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.
%(q1hint3c1)%	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.	Type '%(given1)%' in the highlighted field.
										
%(hint1sw1)%	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given1)%.
%(hint2sw1)%	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?
%(hint3sw1)%	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.	Please type %(exp1)% into the highlighted field.
										
%(q1hint1c3)%	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?
%(q1hint2c3)%	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given1)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?
%(q1hint3c3)%	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.	The %(quan2)% equals %(exp1)%. Evaluate this expression.
%(q1hint4c3)%	(10*5) + 20 = 50 + 20 = 70. Type '%(ans1)%' in the highlighted field.	(60/4) + 150 = 15 + 150 = 165. Type '%(ans1)%' in the highlighted field.	(10*120) - 1200 = 1200 - 1200 = 0. Type '%(ans1)%' in the highlighted field.	(2*5) + 3 = 10 + 3 = 13. Type '%(ans1)%' in the highlighted field.	(130/13) - 3 = 10 - 3 = 7. Type '%(ans1)%' in the highlighted field.	(10*5) - 50 = 50 - 50 = 0. Type '%(ans1)%' in the highlighted field.	(80*2) + 1300 = 160 + 1300 = 1460. Type '%(ans1)%' in the highlighted field.	(8*1.50) + 16 = 12 + 16 = 28. Type '%(ans1)%' in the highlighted field.	(38*6) - 33 = 228 - 33 = 195. Type '%(ans1)%' in the highlighted field.	(240/3) - 12 = 80 - 12 = 68. Type '%(ans1)%' in the highlighted field.
										
%(q2hint1c1)%	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 2, you have not yet entered a given value. Look at the question. What do you already know from the question?
%(q2hint2c1)%	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.
%(q2hint3c1)%	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.	Type '%(given2)%' in the highlighted field.
										
%(hint1sw2)%	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given2)%.
%(hint2sw2)%	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?
%(hint3sw2)%	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.	Please type %(exp2)% into the highlighted field.
										
%(q2hint1c3)%	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?
%(q2hint2c3)%	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The amount of money you have saved is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given2)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?
%(q2hint3c3)%	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.	The %(quan2)% equals %(exp2)%. Evaluate this expression.
