Problem Name	Intro_problem	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9	Problem10
%(unit1)%	guests	CDs	dogs	friends	weeks	rides	dollars	dollars	dollars	boxes	cards
%(unit2)%	burgers	dollars	dollars	cookies	dollars	tickets	dollars	dollars	dollars	dollars	cards
%(expression1)%	g	x	d	f	w	r	p	a	p	b	c
%(expression2)%	2g + 4	8x+12	15d - 30	6f + 12	5w + 14	4r + 20	p/10 - 5	a/5 + 20	p/4 - 25	10b + 200	c/3 + 500
%(Ans1_a)%	3	1	2	2	1	1	500	100	200	10	9
%(Ans1_b)%	10	20	0	24	19	24	45	40	25	300	503
%(Ans2_a)%	5	2	3	5	3	2	600	150	400	15	18
%(Ans2_b)%	14	28	15	42	29	28	55	50	75	350	506
%(Ans3_a)%	7	3	4	8	4	10	800	200	800	20	30
%(Ans3_b)%	18	36	30	60	34	60	75	60	175	400	510
%(Ans4_a)%	9	4	5	10	6	25	1000	300	1200	30	60
%(Ans4_b)%	22	44	45	72	44	120	95	80	275	500	520

%(incorrect)%	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."
%(Ans1a_hint1)%	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?
%(Ans1a_hint2)%	"To work through question 1, you must first find the number of people coming to her BBQ."	"To work through question 1, you must first find the number of CDs purchased."	"To work through question 1, you must first find the number of dogs that Andy walked."	"To work through question 1, you must first find the number of friends that Alice is bringing cookies for."	"To work through question 1, you must first find the number of weeks that have passed since Danny began saving."	"To work through question 1, you must first find the number of rides Emily went on in Wonder World."	"To work through question 1, you must first find the prize for the competition."	"To work through question 1, you must first find the amount of money that Susie received for her allowance."	"To work through question 1, you must first find the total grand prize for the trivia challenge."	"To work through question 1, you must first find the number of boxes of chocolates sold by the troops."	"To work through question 1, you must first find the number of cards Bobby receives for his birthday."
%(Ans1a_hint3)%	Try reading through the question again to find the number of poeple coming to her BBQ.	Try reading through the question again to find the number of CDs bought.	Try reading through the question again to find the number of dogs Andy walked.	Try reading through the question again to find the number of friends Alice wants to give cookies.	Try reading through the question again to find the number of weeks that have gone by.	Try reading through the question again to find the number of rides she went on.	Try reading through the question again to find the prize amount.	Try reading through the question again to find the amount of money Susie has been given.	Try reading through the question again to find the amount of money being given as the grand prize.	Try reading through the question again to find the number of boxes sold.	Try reading through the question again to find the number of cards.
%(Ans1a_hint4)%	Try entering '3' in the highlighted field.	Try entering '1' in the highlighted field.	Try entering '2' in the highlighted field.	Try entering '2' in the highlighted field.	Try entering '1' in the highlighted field.	Try entering '1' in the highlighted field.	Try entering '500' in the highlighted field.	Try entering '100' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '10' in the highlighted field.	Try entering '9' in the highlighted field.
%(Ans1b_hint1)%	"If 3 people come to her BBQ, how many burgers does she need to buy?"	"If you buy 1 CD, what is the total cost of the order?"	"If Andy walked 2 dogs, how much spending money will he then have?"	"If she brings cookies for 2 friends, what is the total number of cookies she will bring?"	"If Danny saved for 1 week, what is the total amount of money in his piggy bank?"	"If Emily rode 1 ride, what is the total number of tickets she used?"	"If the prize comes out to be $500, what is the total amount of money that each student receives?"	"If Susie is given $100 over the year, what is the total amount of money in her piggy bank?"	"If the grand prize is worth $200, what is the total amount of money Mark wins?"	"If the cadets sold 10 boxes, what is the total amount of money in the troop's charity fund?"	"If Bobby gets 9 cards, what is the total number of cards he will now have in his collection?"
%(Ans1b_hint2)%	The variable 'g' stands for the guests that show up. Please substitute 3 for the variable 'g' in the algebraic expression 2g + 4.	The variable 'x' stands for the number of CDs. Please substitute 1 for the variable 'x' in the algebraic expression 8x+12.	The variable 'd' stands for the number of dogs walked. Please substitute 2 for the variable 'd' in the algebraic expression 15d - 30.	The variable 'f' stands for the number of friends that Alice is bringing cookies for. Please substitute 2 for the variable 'f' in the algebraic expression 6f + 12.	The variable 'w' stands for the number of weeks Danny saved up for. Please substitute 1 for the variable 'w' in the algebraic expression 5w + 14.	The variable 'r' stands for the number of rides Emily went on. Please substitute 1 for the variable 'r' in the algebraic expression 4r + 20.	The variable 'p' stands for the prize money. Please substitute 500 for the variable 'p' in the algebraic expression p/10 - 5.	The variable 'a' stands for the allowance Susie is given. Please substitute 100 for the variable 'a' in the algebraic expression a/5 + 20.	The variable 'p' stands for the grand prize money. Please substitute 200 for the variable 'p' in the algebraic expression p/4 - 25.	The variable 'b' stands for the number of boxes sold by the cadets. Please substitute 10 for the variable 'b' in the algebraic expression 10b + 200.	The variable 'c' stands for the number of cards Bobby gets. Please substitute 9 for the variable 'c' in the algebraic expression c/3 + 500.
%(Ans1b_hint3)%	"When you substitute 3 for 'g' in the algebraic equation 2g + 4, you get the numerical expression 2(3) + 4. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 1 for 'x' in the algebraic equation 8x+12, you get the numerical expression 8(1)+12. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 2 for 'd' in the algebraic equation 15d - 30, you get the numerical expression 15(2)-30. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 2 for 'f' in the algebraic equation 6f + 12, you get the numerical expression 6(2)+12. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 1 for 'w' in the algebraic equation 5w + 14, you get the numerical expression 5(1)+14. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 1 for 'r' in the algebraic equation 4r + 20, you get the numerical expression 4(1)+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 500 for 'p' in the algebraic equation p/10 - 5, you get the numerical expression (500)/10-5. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 100 for 'a' in the algebraic equation a/5 + 20, you get the numerical expression (100)/5+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 200 for 'p' in the algebraic equation p/4 - 25, you get the numerical expression (200)/4-25. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 10 for 'b' in the algebraic equation 10b + 200, you get the numerical expression10(10)+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 9 for 'c' in the algebraic equation c/3 + 500, you get the numerical expression (9)/3+500. Please do the arithmetic and enter the answer in the highlighted cell."
%(Ans1b_hint4)%	Please type '10' in the highlighted field.	Please type '20' in the highlighted field.	Please type '0' in the highlighted field.	Please type '24' in the highlighted field.	Please type '19' in the highlighted field.	Please type '24' in the highlighted field.	Please type '45' in the highlighted field.	Please type '40' in the highlighted field.	Please type '25' in the highlighted field.	Please type '300' in the highlighted field.	Please type '503' in the highlighted field.
%(Ans2a_hint1)%	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?
%(Ans2a_hint2)%	"To work through question 2, you must first find the number of people coming to her BBQ."	"To work through question 2, you must first find the number of CDs purchased."	"To work through question 2, you must first find the number of dogs that Andy walked."	"To work through question 2, you must first find the number of friends that Alice is bringing cookies for."	"To work through question 2, you must first find the number of weeks that have passed since Danny began saving."	"To work through question 2, you must first find the number of rides Emily went on in Wonder World."	"To work through question 2, you must first find the prize for the competition."	"To work through question 2, you must first find the amount of money that Susie received for her allowance."	"To work through question 2, you must first find the total grand prize for the trivia challenge."	"To work through question 2, you must first find the number of boxes of chocolates sold by the troops."	"To work through question 2, you must first find the number of cards Bobby receives for his birthday."
%(Ans2a_hint3)%	Try reading through the question again to find the number of poeple coming to her BBQ.	Try reading through the question again to find the number of CDs bought.	Try reading through the question again to find the number of dogs Andy walked.	Try reading through the question again to find the number of friends.	Try reading through the question again to find the weeks that have gone by.	Try reading through the question again to find the number of rides she went on.	Try reading through the question again to find the prize amount.	Try reading through the question again to find the amount of money Susie has been given.	Try reading through the question again to find the amount of money being given as the grand prize.	Try reading through the question again to find the number of boxes sold.	Try reading through the question again to find the number of cards.
%(Ans2a_hint4)%	Try entering '5' in the highlighted field.	Try entering '2' in the highlighted field.	Try entering '3' in the highlighted field.	Try entering '5' in the highlighted field.	Try entering '3' in the highlighted field.	Try entering '2' in the highlighted field.	Try entering '600' in the highlighted field.	Try entering '150' in the highlighted field.	Try entering '400' in the highlighted field.	Try entering '15' in the highlighted field.	Try entering '18' in the highlighted field.
%(Ans2b_hint1)%	"If 5 people come to her BBQ, how many burgers does she need to buy?"	"If you buy 2 CDs, what is the total cost of the order?"	"If Andy walked 3 dogs, how much spending money will he then have?"	"If she brings cookies for 5 friends, what is the total number of cookies she will bring?"	"If Danny saved for 3 weeks, what is the total amount of money in his piggy bank?"	"If Emily rode 2 rides, what is the total number of tickets she used?"	"If the prize comes out to be $600, what is the total amount of money that each student receives?"	"If Susie is given $150 over the year, what is the total amount of money in her piggy bank?"	"If the grand prize is worth $400, what is the total amount of money Mark wins?"	"If the cadets sold 15 boxes, what is the total amount of money in the troop's charity fund?"	"If Bobby gets 18 cards, what is the total number of cards he will now have in his collection?"
%(Ans2b_hint2)%	The variable 'g' stands for the guests that show up. Please substitute 5 for the variable 'g' in the algebraic expression 2g + 4.	The variable 'x' stands for the number of CDs. Please substitute 2 for the variable 'x' in the algebraic expression 8x+12.	The variable 'd' stands for the number of dogs walked. Please substitute 3 for the variable 'd' in the algebraic expression 15d - 30.	The variable 'f' stands for the number of friends that Alice is bringing cookies for. Please substitute 5 for the variable 'f' in the algebraic expression 6f + 12.	The variable 'w' stands for the number of weeks Danny saved up for. Please substitute 3 for the variable 'w' in the algebraic expression 5w + 14.	The variable 'r' stands for the number of rides Emily went on. Please substitute 2 for the variable 'r' in the algebraic expression 4r + 20.	The variable 'p' stands for the prize money. Please substitute 600 for the variable 'p' in the algebraic expression p/10 - 5.	The variable 'a' stands for the allowance Susie is given. Please substitute 150 for the variable 'a' in the algebraic expression a/5 + 20.	The variable 'p' stands for the grand prize money. Please substitute 400 for the variable 'p' in the algebraic expression p/4 - 25.	The variable 'b' stands for the number of boxes sold by the cadets. Please substitute 15 for the variable 'b' in the algebraic expression 10b + 200.	The variable 'c' stands for the number of cards Bobby gets. Please substitute 18 for the variable 'c' in the algebraic expression c/3 + 500.
%(Ans2b_hint3)%	"When you substitute 5 for 'g' in the algebraic equation 2g + 4, you get the numerical expression 2(5) + 4. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 2 for 'x' in the algebraic equation 8x+12, you get the numerical expression 8(2)+12. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 3 for 'd' in the algebraic equation 15d - 30, you get the numerical expression 15(3)-30. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 5 for 'f' in the algebraic equation 6f + 12, you get the numerical expression 6(5)+12. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 3 for 'w' in the algebraic equation 5w + 14, you get the numerical expression 5(3)+14. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 2 for 'r' in the algebraic equation 4r + 20, you get the numerical expression 4(2)+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 600 for 'p' in the algebraic equation p/10 - 5, you get the numerical expression (600)/10-5. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 150 for 'a' in the algebraic equation a/5 + 20, you get the numerical expression (150)/5+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 400 for 'p' in the algebraic equation p/4 - 25, you get the numerical expression (400)/4-25. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 15 for 'b' in the algebraic equation 10b + 200, you get the numerical expression10(15)+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 18 for 'c' in the algebraic equation c/3 + 500, you get the numerical expression (18)/3+500. Please do the arithmetic and enter the answer in the highlighted cell."
%(Ans2b_hint4)%	Please type '14' in the highlighted field.	Try entering '28' in the highlighted field.	Try entering '15' in the highlighted field.	Try entering '42' in the highlighted field.	Try entering '29' in the highlighted field.	Try entering '28' in the highlighted field.	Try entering '55' in the highlighted field.	Try entering '50' in the highlighted field.	Try entering '75' in the highlighted field.	Try entering '350' in the highlighted field.	Try entering '506' in the highlighted field.
%(Ans3a_hint1)%	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?
%(Ans3a_hint2)%	"To work through question 3, you must first find the number of people coming to her BBQ."	"To work through question 3, you must first find the number of CDs purchased."	"To work through question 3, you must first find the number of dogs that Andy walked."	"To work through question 3, you must first find the number of friends that Alice is bringing cookies for."	"To work through question 3, you must first find the number of weeks that have passed since Danny began saving."	"To work through question 3, you must first find the number of rides Emily went on in Wonder World."	"To work through question 3, you must first find the prize for the competition."	"To work through question 3, you must first find the amount of money that Susie received for her allowance."	"To work through question 3, you must first find the total grand prize for the trivia challenge."	"To work through question 3, you must first find the number of boxes of chocolates sold by the troops."	"To work through question 3, you must first find the number of cards Bobby receives for his birthday."
%(Ans3a_hint3)%	Try reading through the question again to find the number of poeple coming to her BBQ.	Try reading through the question again to find the number of CDs bought.	Try reading through the question again to find the number of dogs Andy walked.	Try reading through the question again to find the number of friends.	Try reading through the question again to find the weeks that have gone by.	Try reading through the question again to find the number of rides she went on.	Try reading through the question again to find the prize amount.	Try reading through the question again to find the amount of money Susie has been given.	Try reading through the question again to find the amount of money being given as the grand prize.	Try reading through the question again to find the number of boxes sold.	Try reading through the question again to find the number of cards.
%(Ans3a_hint4)%	Try entering '7' in the highlighted field.	Try entering '3' in the highlighted field.	Try entering '4' in the highlighted field.	Try entering '8' in the highlighted field.	Try entering '4' in the highlighted field.	Try entering '10' in the highlighted field.	Try entering '800' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '800' in the highlighted field.	Try entering '20' in the highlighted field.	Try entering '30' in the highlighted field.
%(Ans3b_hint1)%	"If 7 of her friends show up, how many burgers does she need to buy?"	"If you buy 3 CDs, what is the total cost of the order?"	"If Andy walked 4 dogs, how much spending money will he then have?"	"If she brings cookies for 8 friends, what is the total number of cookies she will bring?"	"If Danny saved for 4 weeks, what is the total amount of money in his piggy bank?"	"If Emily rode 10 rides, what is the total number of tickets she used?"	"If the prize comes out to be $800, what is the total amount of money that each student receives?"	"If Susie is given $200 over the year, what is the total amount of money in her piggy bank?"	"If the grand prize is worth $800, what is the total amount of money Mark wins?"	"If the cadets sold 20 boxes, what is the total amount of money in the troop's charity fund?"	"If Bobby gets 30 cards, what is the total number of cards he will now have in his collection?"
%(Ans3b_hint2)%	The variable 'g' stands for the guests that show up. Please substitute 7 for the variable 'g' in the algebraic expression 2g + 4.	The variable 'x' stands for the number of CDs. Please substitute 3 for the variable 'x' in the algebraic expression 8x+12.	The variable 'd' stands for the number of dogs walked. Please substitute 4 for the variable 'd' in the algebraic expression 15d - 30.	The variable 'f' stands for the number of friends that Alice is bringing cookies for. Please substitute 8 for the variable 'f' in the algebraic expression 6f + 12.	The variable 'w' stands for the number of weeks Danny saved up for. Please substitute 4 for the variable 'w' in the algebraic expression 5w + 14.	The variable 'r' stands for the number of rides Emily went on. Please substitute 10 for the variable 'r' in the algebraic expression 4r + 20.	The variable 'p' stands for the prize money. Please substitute 800 for the variable 'p' in the algebraic expression p/10 - 5.	The variable 'a' stands for the allowance Susie is given. Please substitute 200 for the variable 'a' in the algebraic expression a/5 + 20.	The variable 'p' stands for the grand prize money. Please substitute 800 for the variable 'p' in the algebraic expression p/4 - 25.	The variable 'b' stands for the number of boxes sold by the cadets. Please substitute 20 for the variable 'b' in the algebraic expression 10b + 200.	The variable 'c' stands for the number of cards Bobby gets. Please substitute 30 for the variable 'c' in the algebraic expression c/3 + 500.
%(Ans3b_hint3)%	"When you substitute 7 for 'g' in the algebraic equation 2g + 4, you get the numerical expression 2(7) + 4. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 3 for 'x' in the algebraic equation 8x+12, you get the numerical expression 8(3)+12. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 4 for 'd' in the algebraic equation 15d - 30, you get the numerical expression 15(4)-30. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 8 for 'f' in the algebraic equation 6f + 12, you get the numerical expression 6(8)+12. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 4 for 'w' in the algebraic equation 5w + 14, you get the numerical expression 5(4)+14. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 10 for 'r' in the algebraic equation 4r + 20, you get the numerical expression 4(10)+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 800 for 'p' in the algebraic equation p/10 - 5, you get the numerical expression (800)/10-5. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 200 for 'a' in the algebraic equation a/5 + 20, you get the numerical expression (200)/5+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 800 for 'p' in the algebraic equation p/4 - 25, you get the numerical expression (800)/4-25. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 20 for 'b' in the algebraic equation 10b + 200, you get the numerical expression10(20)+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 30 for 'c' in the algebraic equation c/3 + 500, you get the numerical expression (30)/3+500. Please do the arithmetic and enter the answer in the highlighted cell."
%(Ans3b_hint4)%	Please type '18' in the highlighted field.	Try entering '36' in the highlighted field.	Try entering '30' in the highlighted field.	Try entering '60' in the highlighted field.	Try entering '34' in the highlighted field.	Try entering '60' in the highlighted field.	Try entering '75' in the highlighted field.	Try entering '60' in the highlighted field.	Try entering '175' in the highlighted field.	Try entering '400' in the highlighted field.	Try entering '510' in the highlighted field.
%(Ans4a_hint1)%	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?	What do you already know from reading the question?
%(Ans4a_hint2)%	"To work through question 4, you must first find the number of people coming to her BBQ."	"To work through question 4, you must first find the number of CDs purchased."	"To work through question 4, you must first find the number of dogs that Andy walked."	"To work through question 4, you must first find the number of friends that Alice is bringing cookies for."	"To work through question 2, you must first find the number of weeks that have passed since Danny began saving."	"To work through question 4, you must first find the number of rides Emily went on in Wonder World."	"To work through question 4, you must first find the prize for the competition."	"To work through question 4, you must first find the amount of money that Susie received for her allowance."	"To work through question 4, you must first find the total grand prize for the trivia challenge."	"To work through question 4, you must first find the number of boxes of chocolates sold by the troops."	"To work through question 4, you must first find the number of cards Bobby receives for his birthday."
%(Ans4a_hint3)%	Try reading through the question again to find the number of poeple coming to her BBQ.	Try reading through the question again to find the number of CDs bought.	Try reading through the question again to find the number of dogs Andy walked.	Try reading through the question again to find the number of friends.	Try reading through the question again to find the weeks that have gone by.	Try reading through the question again to find the number of rides she went on.	Try reading through the question again to find the prize amount.	Try reading through the question again to find the amount of money Susie has been given.	Try reading through the question again to find the amount of money being given as the grand prize.	Try reading through the question again to find the number of boxes sold.	Try reading through the question again to find the number of cards.
%(Ans4a_hint4)%	Try entering '9' in the highlighted field.	Try entering '4' in the highlighted field.	Try entering '5' in the highlighted field.	Try entering '10' in the highlighted field.	Try entering '6' in the highlighted field.	Try entering '25' in the highlighted field.	Try entering '1000' in the highlighted field.	Try entering '300' in the highlighted field.	Try entering '1200' in the highlighted field.	Try entering '30' in the highlighted field.	Try entering '60' in the highlighted field.
%(Ans4b_hint1)%	"If 9 of her friends show up, how many does burgers she need to buy?"	"If you buy 4 CDs, what is the total cost of the order?"	"If Andy walked 5 dogs, how much spending money will he then have?"	"If she brings cookies for 10 friends, what is the total number of cookies she will bring?"	"If Danny saved for 6 weeks, what is the total amount of money in his piggy bank?"	"If Emily rode 25 rides, what is the total number of tickets she used?"	"If the prize comes out to be $1000, what is the total amount of money that each student receives?"	"If Susie is given $300 over the year, what is the total amount of money in her piggy bank?"	"If the grand prize is worth $1000, what is the total amount of money Mark wins?"	"If the cadets sold 30 boxes, what is the total amount of money in the troop's charity fund?"	"If Bobby gets 60 cards, what is the total number of cards he will now have in his collection?"
