Problem Name	01Runners	02Runners	03Baton	04CDs	05Programmer	06Seoul	07Stories	00Bubble
%(Q1C7A)%	3*2*1	6*5*4*3*2*1	8*7*6*5*4*3	5*4*3*2*1	3*2*1	3*2*1	5*4*3*2*1	20*19*18
%(Q1C8A)%	6	720	20160	120	6	6	120	6840
								
%(Q2C1A)%	5	7	13	6	7	5	9	15
%(Q2C2A)%	4	6	12	5	6	4	8	14
%(Q2C3A)%	3	5	11	4	5	3	7	13
%(Q2C4A)%	*	4	10	3	*	2	6	*
%(Q2C5A)%	*	3	9	2	*	*	5	*
%(Q2C6A)%	*	2	8	*	*	*	*	*
%(Q2C7A)%	5*4*3	7*6*5*4*3*2	13*12*11*10*9*8	6*5*4*3*2	7*6*5	5*4*3*2	9*8*7*6*5	15*14*13
%(Q2C8A)%	60	5040	1235520	720	210	120	15120	2730
								
%(Q3C1A)%	10	10	18	17	12	8	14	10
%(Q3C2A)%	9	9	17	16	11	7	13	9
%(Q3C3A)%	8	8	16	15	10	6	12	8
%(Q3C4A)%	*	7	15	14	*	5	11	*
%(Q3C5A)%	*	6	14	13	*	*	10	*
%(Q3C6A)%	*	5	13	*	*	*	*	*
%(Q3C7A)%	10*9*8	10*9*8*7*6*5	18*17*16*15*14*13	17*16*15*14*13	12*11*10	8*7*6*5	14*13*12*11*10	10*9*8
%(Q3C8A)%	720	151200	13366080	742560	1320	1680	240240	720
								
%(Q4C1A)%	2	5	6	33	16	10	21	5
%(Q4C2A)%	1	4	5	32	15	9	20	4
%(Q4C3A)%	0	3	4	31	14	8	19	3
%(Q4C4A)%	*	2	3	30	*	7	18	*
%(Q4C5A)%	*	1	2	29	*	*	17	*
%(Q4C6A)%	*	0	1	*	*	*	*	*
%(Q4C7A)%	2*1*0	5*4*3*2*1*0	6*5*4*3*2*1	33*32*31*30*29	16*15*14	10*9*8*7	21*20*19*18*17	5*4*3
%(Q4C8A)%	0	0	720	28480320	3360	5040	2441880	60
								
%(TC1)%	First runners	First runners	First twirls	First songs	First lessons	Palaces for the first day	First stories	First runners
%(TC2)%	Second runners	Second runners	Second twirls	Second songs	Second lessons	Palaces for the second day	Second stories	Second runners
%(TC3)%	Third runners	Third runners	Third twirls	Third songs	Third lessons	Palaces for the third day	Third stories	Third runners
%(TC4)%	*	Fourth runners	Fourth twirls	Fourth songs	*	Palaces for the fourth day	Fourth stories	*
%(TC5)%	*	Fifth runners	Fifth twirls	Fifth songs	*	*	Fifth stories	*
%(TC6)%	*	Sixth runners	Sixth twirls	*	*	*	*	*
%(TC7)%	Expression for possible lineups	Expression for possible lineups	Expression for possible routines	Expression for possible CDs	Expression for possible tutors	Expression for schedules of visits	Expression for possible collections	Expression for possible lineups
%(TC8)%	Number of possible lineups	Number of possible lineups	Number of possible routines	Number of  total possible CDs	Total number of possible tutors	Number of schedules of visits	Total number of possible collections	Number of possible lineups
								
%(visCol4)%	addClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass
%(visCol5)%	addClass	removeClass	removeClass	removeClass	addClass	addClass	removeClass	addClass
%(visCol6)%	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	addClass
								
%(mm4)%	0	1	1	1	0	1	1	0
%(mm5)%	0	1	1	1	0	0	1	0
%(mm6)%	0	1	1	0	0	0	0	0
%(seoulmm)%	0	1	1	1	0	0	1	0
								
%(none-location)%	xxx	xxx	xxx	xxx	xxx	Q1C4	xxx	xxx
								
%(Q1C1H1)%	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?
%(Q1C1H2)%	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of twirls that Cheryl knows. Because she hasn't choreographed any of these twirls into her routine, there are this many possible first twirls. Please type this given value into the correct place on the table."	"A given value in the question represents the number of songs that Thom has downloaded. Because Thom hasn't put any of these songs onto the CD, there are this many possible first songs. Please type this given value into the correct place on the table."	"A given value in the question represents the number of lessons that Ryan has to choose from. Because Ryan hasn't programmed any of these lessons into the tutor, there are this many possible first lessons. Please type this given value into the correct place on the table."	"A given value in the question represents the number of palaces in Seoul. Because Liam hasn't chosen any palaces to visit, he can choose from this many palaces to visit on the first day of his stay in Seoul. Please type this given value into the correct place on the table."	"A given value in the question represents the number of stories. Because none of these stories have been put into the collection, there are this many possible first stories. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."
%(Q1C1H3)%	Please enter '3' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '20' in the highlighted field.
%(Q1C2H1)%	What is the number of possible second runners?	What is the number of possible second runners?	What is the number of possible second twirls?	What is the number of possible second songs?	What is the number of possible second lessons?	What is the number of palaces that Liam can visit on the second day of his stay?	What is the number of possible second stories?	What is the number of possible second runners?
%(Q1C2H2)%	"One of the runners has already been chosen as the first possible runner in the relay race, and because the runners cannot appear more than once in the lineup, the number of possible second runners is one less than the number of possible first runners."	"One of the runners has already been chosen as the first possible runner in the relay race, and because the runners cannot appear more than once in the lineup, the number of possible second runners is one less than the number of possible first runners."	"Cheryl has already chosen one of the twirls as the first possible twirl in her routine, and because the twirls cannot appear more than once, the number of possible second twirls is one less than the number of possible first twirls."	"Thom has already chosen one of the songs as the first possible song for the CD, and because the songs cannot appear more than once, the number of possible second songs is one less than the number of possible first songs."	"Ryan has already chosen one of the lessons as the first possible lesson, and because the lessons cannot appear more than once in the tutor, the number of possible second lessons is one less than the number of possible first lessons."	"Liam has already chosen a palace to visit on the first day of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the second day of his stay is one less than the number of palaces he could visit on the first day of his stay."	"One of the stories has already been chosen as the first possible story of the collection, and because the stories cannot appear more than once, the number of possible second stories is one less than the number of possible first stories."	"One of the runners has already been chosen as the first possible runner in the relay race, and because the runners cannot appear more than once in the lineup, the number of possible second runners is one less than the number of possible first runners."
%(Q1C2H3)%	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '19' in the highlighted field.
%(Q1C3H1)%	What is the number of possible third runners?	What is the number of possible third runners?	What is the number of possible third twirls?	What is the number of possible third songs?	What is the number of possible third lessons?	What is the number of palaces that Liam can visit on the third day of his stay?	What is the number of possible third stories?	What is the number of possible third runners?
%(Q1C3H2)%	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."	"Cheryl has chosen both the first and second twirls for her routine, and because the twirls cannot appear more than once, the number of possible third twirls is two less than the number of possible first twirls."	"Thom has chosen both the first and second songs for the CD, and because the songs cannot appear more than once, the number of possible third songs is two less than the number of possible first songs."	"Ryan has already chosen both the first and second possible lessons, and because the lessons cannot appear more than once in the tutor, the number of possible third lessons is two less than the number of possible first lessons."	"Liam has already chosen the palaces that he is going to visit on both the first and second days of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the third day of his stay is two less than the number of palaces he could visit on the first day of his stay."	"Both the first and second stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible third stories is two less than the number of possible first stories."	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."
%(Q1C3H3)%	Please enter '1' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '18' in the highlighted field.
%(Q1C4H1)%	*	What is the number of possible fourth runners?	What is the number of possible fourth twirls?	What is the number of possible fourth songs?	*	*	What is the number of possible fourth stories?	*
%(Q1C4H2)%	*	"The first, second, and third runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible fourth runners is three less than the number of possible first runners."	"Cheryl has chosen the first, second, and third twirls for her routine, and because the twirls cannot appear more than once, the number of possible fourth twirls is three less than the number of possible first twirls."	"Thom has chosen the first, second, and third songs for the CD, and because the songs cannot appear more than once, the number of possible fourth songs is three less than the number of possible first songs."	*	*	"The first, second, and third stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible fourth stories is three less than the number of possible first stories."	*
%(Q1C4H3)%	*	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '2' in the highlighted field.	*	*	Please enter '2' in the highlighted field.	*
%(Q1C5H1)%	*	What is the number of possible fifth runners?	What is the number of possible fifth twirls?	What is the number of possible fifth songs?	*	*	What is the number of possible fifth stories?	*
%(Q1C5H2)%	*	"The first, second, third, and fourth runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible fifth runners is four less than the number of possible first runners."	"Cheryl has chosen the first, second, third, and fourth twirls for her routine, and because the twirls cannot appear more than once, the number of possible fifth twirls is four less than the number of possible first twirls."	"Thom has chosen the first, second, third, and fourth songs for the CD, and because the songs cannot appear more than once, the number of possible fifth songs is four less than the number of possible first songs."	*	*	"The first, second, third, and fourth stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible fifth stories is four less than the number of possible first stories."	*
%(Q1C5H3)%	*	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '1' in the highlighted field.	*	*	Please enter '1' in the highlighted field.	*
%(Q1C6H1)%	*	What is the number of possible sixth runners?	What is the number of possible sixth twirls?	*	*	*	*	*
%(Q1C6H2)%	*	"The first, second, third, fourth, and fifth runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible sixth runners is five less than the number of possible first runners."	"Cheryl has chosen the first, second, third, fourth, and fifth twirls for her routine, and because the twirls cannot appear more than once, the number of possible sixth twirls is five less than the number of possible first twirls."	*	*	*	*	*
%(Q1C6H3)%	*	Please enter '1' in the highlighted field.	Please enter '3' in the highlighted field.	*	*	*	*	*
%(Q1C7H1)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(Q1C7H2)%	"Try multiplying the possible first runners, possible second runners, and possible third runners."	"Try multiplying the possible first runners, possible second runners, possible third runners, possible fourth runners, possible fifth runners, and possible sixth runners."	"Try multiplying the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls."	"Try multiplying the number of possible first songs and the number of possible second, third, fourth, and fifth songs."	"Try multiplying the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons."	"Try multiplying the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay."	"Try multiplying the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories."	"Try multiplying the possible first runners, possible second runners, and possible third runners."
%(Q1C7H3)%	Please enter '3*2*1' in the highlighted field.	Please enter '6*5*4*3*2*1' in the highlighted field.	Please enter '8*7*6*5*4*3' in the highlighted field.	Please enter '5*4*3*2*1' in the highlighted field.	Please enter '3*2*1' in the highlighted field.	Please enter '3*2*1' in the highlighted field.	Please enter '5*4*3*2*1' in the highlighted field.	Please enter '20*19*18' in the highlighted field.
%(Q1C8H1)%	What is the number of possible lineups?	What is the total number of possible lineups?	What is the total number of possible routines?	What is the total number of possible CDs?	What is the total number of possible tutors?	How many schedules of visits can Liam make?	What is the total number of possible collections?	What is the number of possible lineups?
%(Q1C8H2)%	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners. Please enter the number of possible lineups in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners and the number of possible second, third, fourth, fifth, and sixth runners. Please enter the number of possible lineups in the highlighted field."	"The number of possible routines is equal to the product of the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls. Please enter the number of possible routines in the highlighted field."	"The total number of possible CDs is equal to the product of the number of possible first songs and the number of possible second, third, fourth, and fifth songs. Please enter the total number of possible CDs in the highlighted field."	"The total number of possible tutors is equal to the product of the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons. Please enter the total number of possible tutors in the highlighted field."	"The number of schedules of visits that Liam can make is equal to the product of the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay. If Liam isn't visiting any palaces on one of the days he is in Seoul, his palace visits for that day don't need to factored into your calculation. Please enter the number of schedules of visits in the highlighted field."	"The total number of possible collections is equal to the product of the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories. Please enter the total number of possible collections in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners. Please enter the number of possible lineups in the highlighted field."
%(Q1C8H3)%	Please enter '6' in the highlighted field.	Please enter '720' in the highlighted field.	Please enter '20160' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '6840' in the highlighted field.
								
%(Q2C1H1)%	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?
%(Q2C1H2)%	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of twirls that Cheryl knows. Because she hasn't choreographed any of these twirls into her routine, there are this many possible first twirls. Please type this given value into the correct place on the table."	"A given value in the question represents the number of songs that Thom has downloaded. Because Thom hasn't put any of these songs onto the CD, there are this many possible first songs. Please type this given value into the correct place on the table."	"A given value in the question represents the number of lessons that Ryan has to choose from. Because Ryan hasn't programmed any of these lessons into the tutor, there are this many possible first lessons. Please type this given value into the correct place on the table."	"A given value in the question represents the number of palaces in Seoul. Because Liam hasn't chosen any palaces to visit, he can choose from this many palaces to visit on the first day of his stay in Seoul. Please type this given value into the correct place on the table."	"A given value in the question represents the number of stories. Because none of these stories have been put into the collection, there are this many possible first stories. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."
%(Q2C1H3)%	Please enter '5' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '15' in the highlighted field.
%(Q2C2H1)%	What is the number of possible second runners?	What is the number of possible second runners?	What is the number of possible second twirls?	What is the number of possible second songs?	What is the number of possible second lessons?	What is the number of palaces that Liam can visit on the second day of his stay?	What is the number of possible second stories?	What is the number of possible second runners?
%(Q2C2H2)%	"One of the runners has already been chosen as the first possible runner in the relay race, so the number of possible second runners is one less than the number of possible first runners."	"One of the runners has already been chosen as the first possible runner in the relay race, and because the runners cannot appear more than once in the lineup, the number of possible second runners is one less than the number of possible first runners."	"Cheryl has already chosen one of the twirls as the first possible twirl in her routine, and because the twirls cannot appear more than once, the number of possible second twirls is one less than the number of possible first twirls."	"One of the songs has already been chosen as the first possible song on the CD, and because the songs cannot appear more than once, the number of possible second songs is one less than the number of possible first songs."	"One of the lessons has already been chosen as the first possible lesson of the tutor, and because the lessons cannot appear more than once in the tutor, the number of possible second lessons is one less than the number of possible first lessons."	"Liam has already chosen a palace to visit on the first day of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the second day of his stay is one less than the number of palaces he could visit on the first day."	"One of the stories has already been chosen as the first possible story of the collection, and because the stories cannot appear more than once, the number of possible second stories is one less than the number of possible first stories."	"One of the runners has already been chosen as the first possible runner in the relay race, so the number of possible second runners is one less than the number of possible first runners."
%(Q2C2H3)%	Please enter '4' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '14' in the highlighted field.
%(Q2C3H1)%	What is the number of possible third runners?	What is the number of possible third runners?	What is the number of possible third twirls?	What is the number of possible third songs?	What is the number of possible third lessons?	What is the number of palaces that Liam can visit on the third day of his stay?	What is the number of possible third stories?	What is the number of possible third runners?
%(Q2C3H2)%	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."	"Cheryl has chosen both the first and second twirls for her routine, and because the twirls cannot appear more than once, the number of possible third twirls is two less than the number of possible first twirls."	"Thom has chosen both the first and second songs for the CD, and because the songs cannot appear more than once, the number of possible third songs is two less than the number of possible first songs."	"Both the first and second lessons for the tutor have been chosen, and because the lessons cannot appear more than once in the tutor, the number of possible third lessons is two less than the number of possible first lessons."	"Liam has already chosen the palaces that he is going to visit on both the first and second days of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the third day of his stay is two less than the number of palaces he could visit on the first day of his stay."	"Both the first and second stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible third stories is two less than the number of possible first stories."	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."
%(Q2C3H3)%	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '11' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '13' in the highlighted field.
%(Q2C4H1)%	*	What is the number of possible fourth runners?	What is the number of possible fourth twirls?	What is the number of possible fourth songs?	*	What is the number of palaces that Liam can visit on the fourth day of his stay?	What is the number of possible fourth stories?	*
%(Q2C4H2)%	*	"The first, second, and third runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible fourth runners is three less than the number of possible first runners."	"Cheryl has chosen the first, second, and third twirls for her routine, and because the twirls cannot appear more than once, the number of possible fourth twirls is three less than the number of possible first twirls."	"Thom has chosen the first, second, and third songs for the CD, and because the songs cannot appear more than once, the number of possible fourth songs is three less than the number of possible first songs."	*	"Liam has already chosen the palaces that he is going to visit on the first, second, and third days of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the fourth day of his stay is three less than the number of palaces he could visit on the first day of his stay."	"The first, second, and third stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible fourth stories is three less than the number of possible first stories."	*
%(Q2C4H3)%	*	Please enter '4' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '3' in the highlighted field.	*	Please enter '2' in the highlighted field.	Please enter '6' in the highlighted field.	*
%(Q2C5H1)%	*	What is the number of possible fifth runners?	What is the number of possible fifth twirls?	What is the number of possible fifth songs?	*	*	What is the number of possible fifth stories?	*
%(Q2C5H2)%	*	"The first, second, third, and fourth runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible fifth runners is four less than the number of possible first runners."	"Cheryl has chosen the first, second, third, and fourth twirls for her routine, and because the twirls cannot appear more than once, the number of possible fifth twirls is four less than the number of possible first twirls."	"Thom has chosen the first, second, third, and fourth songs for the CD, and because the songs cannot appear more than once, the number of possible fifth songs is four less than the number of possible first songs."	*	*	"The first, second, third, and fourth stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible fifth stories is four less than the number of possible first stories."	*
%(Q2C5H3)%	*	Please enter '3' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '2' in the highlighted field.	*	*	Please enter '5' in the highlighted field.	*
%(Q2C6H1)%	*	What is the number of possible sixth runners?	What is the number of possible sixth twirls?	*	*	*	*	*
%(Q2C6H2)%	*	"The first, second, third, fourth, and fifth runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible sixth runners is five less than the number of possible first runners."	"Cheryl has chosen the first, second, third, fourth, and fifth twirls for her routine, and because the twirls cannot appear more than once, the number of possible sixth twirls is five less than the number of possible first twirls."	*	*	*	*	*
%(Q2C6H3)%	*	Please enter '2' in the highlighted field.	Please enter '8' in the highlighted field.	*	*	*	*	*
%(Q2C7H1)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(Q2C7H2)%	"Try multiplying the possible first runners, possible second runners, and possible third runners."	"Try multiplying the possible first runners, possible second runners, possible third runners, possible fourth runners, possible fifth runners, and possible sixth runners."	"Try multiplying the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls."	"Try multiplying the number of possible first songs and the number of possible second, third, fourth, and fifth songs."	"Try multiplying the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons."	"Try multiplying the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay."	"Try multiplying the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories."	"Try multiplying the possible first runners, possible second runners, and possible third runners."
%(Q2C7H3)%	Please enter '5*4*3' in the highlighted field.	Please enter '7*6*5*4*3*2' in the highlighted field.	Please enter '13*12*11*10*9*8' in the highlighted field.	Please enter '6*5*4*3*2' in the highlighted field.	Please enter '7*6*5' in the highlighted field.	Please enter '5*4*3*2' in the highlighted field.	Please enter '9*8*7*6*5' in the highlighted field.	Please enter '15*14*13' in the highlighted field.
%(Q2C8H1)%	What is the number of possible lineups?	What is the total number of possible lineups?	What is the total number of possible routines?	What is the total number of possible CDs?	What is the total number of possible tutors?	How many schedules of visits can Liam make?	What is the total number of possible collections?	What is the number of possible lineups?
