Problem Name	00intro	01triangle	02soccer	03map	04triangle	05a_park	05b_park	05c_park	06triangle	07triangle	08airplane	09boat	10a_city	10b_city	10c_city	11park
%(-2187123315834844065)%	-	Enter 6 into the highlighted area.	Enter 14 into the highlighted area.	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(60,q1b),""The other leg given in the problem is the distance between the cave and the palm tree (%(ansQ1a)% %(unt1)%)."",""The other leg given in the problem is the %(heading2)% (60 %(unt1)%).""),""Why don't you try choosing the distance between the cave and the palm tree (%(ansQ1a)% %(unt1)%) as your leg 'a'?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(24,q1b),""The other leg given in the problem is the distance Sam walked due east (%(ansQ1a)% %(unt1)%)."",""The other leg given in the problem is the %(heading2)% (24 %(unt1)%).""),""Why don't you try choosing the distance Sam walked due east (%(ansQ1a)% %(unt1)%) as your leg 'a'?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |56.25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 4 into the highlighted area.	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(1.5,q1b),""The other leg given in the problem is the length of leg 'a' (%(ansQ1a)% %(unt1)%)."",""The other leg given in the problem is the %(heading2)% (1.5 %(unt1)%).""),""Why don't you try choosing the length of leg 'a' (%(ansQ1a)% %(unt1)%) as your leg 'a'?"")%>"	Enter 15 into the highlighted area.	Enter 24 into the highlighted area.	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |1764. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(q1b),ifThen(expressionMatches(4,q1b),""The other leg given in the problem is the distance driven on Cochran Blvd. (%(ansQ1a)% %(unt1)%)."",""The other leg given in the problem is the %(heading2)% (4 %(unt1)%).""),""Why don't you try choosing the distance driven on Cochran Blvd. (%(ansQ1a)% %(unt1)%) as your leg 'a'?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |6.25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 12 into the highlighted area.	"First horizontal path is 2 yard long, and the second path is 3 yards long. Therefore, the total distance of the horizontal path (walking east) is: 2 + 3&nbsp;= 5 yards. "
%(-1934125337180675039)%	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.
%(-298698440467910730)%	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '3'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '6'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '14'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '63'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '5'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '10'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '7.5'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '4'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '2'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '15'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '24'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '42'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '3'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '2.5'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '12'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '5'?
%(-4691502284574703494)%	-	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (100 square feet)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (702.25 square feet)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (7569 square yards)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (676 square kilometers)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (6.25 square milimeters)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (25 square kilometers)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(cc),""You used the worksheet to solve for the hypotenuse. Get the length of the hypotenuse by taking the square root of 'c^2' (106 square yards)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"
%(-5166532556208710060)%	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."
%(7886389670802952036)%	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '4'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '8'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '22.5'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '60'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '12'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '24'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '4'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '3'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '1.5'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '8'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '7'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '40'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '4'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '6'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '5'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '9'?
%(7511054865224940973)%	-	Yes it is given. Read the question again carefully. 	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(63,q1a),""Looks like you already entered the distance between the cave and the palm tree (63 %(unt1)%) as leg 'a'. So you should enter the length of the other leg into the highlighted area."",""Looks like you already entered the %(heading2)% (%(ansQ1b)% %(unt1)%) as leg 'a'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance between the cave and the palm tree (63 %(unt1)%), and the %(heading2)% (%(ansQ1b)% %(unt1)%). Choose the one you want and enter its length."")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(10,q1a),""Looks like you already entered the distance Sam walked due east (10 %(unt1)%) as leg 'a'. So you should enter the length of the other leg into the highlighted area."",""Looks like you already entered the %(heading2)% (%(ansQ1b)% %(unt1)%) as leg 'a'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance Sam walked due east (10 %(unt1)%), and the %(heading2)% (%(ansQ1b)% %(unt1)%). Choose the one you want and enter its length."")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '9 %(unt2)%' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(2,q1a),""Looks like you already entered the length of leg 'a' (2 %(unt1)%) as leg 'a'. So you should enter the length of the other leg into the highlighted area."",""Looks like you already entered the %(heading2)% (%(ansQ1b)% %(unt1)%) as leg 'a'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the length of leg 'a' (2 %(unt1)%), and the %(heading2)% (%(ansQ1b)% %(unt1)%). Choose the one you want and enter its length."")%>"	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '64 %(unt2)%' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '49 %(unt2)%' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(3,q1a),""Looks like you already entered the distance driven on Cochran Blvd. (3 %(unt1)%) as leg 'a'. So you should enter the length of the other leg into the highlighted area."",""Looks like you already entered the %(heading2)% (%(ansQ1b)% %(unt1)%) as leg 'a'. So you should enter the length of the other leg into the highlighted area.""),""Two legs that are given in this problem are: the distance driven on Cochran Blvd. (3 %(unt1)%), and the %(heading2)% (%(ansQ1b)% %(unt1)%). Choose the one you want and enter its length."")%>"	Yes it is given. Read the question again carefully. 	"<%=ifThen(hasValue(aa,bb,cc),""You used the worksheet to solve for one of the leg that was not given in the question. Get the length of this unknown leg by taking the square root of '25 %(unt2)%' (the term you solved for)."",""If you know lengths of any 2 sides of a right triangle, you can use the Pythagorean theorem to solve for the third, unknown side! "")%>"	Try to think how that diagram would have looked if the original path made a right triangle instead. What is the total distance you would walk in the direction of east?
%(-5242964623519073575)%	-	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). In the Pythagorean theorem, 'c' represents the hypotenuse of the right triangle. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). In the Pythagorean theorem, 'c' represents the hypotenuse of the right triangle. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). In the Pythagorean theorem, 'c' represents the hypotenuse of the right triangle. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). In the Pythagorean theorem, 'c' represents the hypotenuse of the right triangle. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). In the Pythagorean theorem, 'c' represents the hypotenuse of the right triangle. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). In the Pythagorean theorem, 'c' represents the hypotenuse of the right triangle. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'c^2' (square of 'c'). In the Pythagorean theorem, 'c' represents the hypotenuse of the right triangle. "
%(-4122562058885238047)%	-	That's right! You used the Pythagorean theorem to find the length of the hypotenuse! The length of hypotenuse 'c' is 10 %(unit1)% long.	That's right! You used the Pythagorean theorem to find the length of the hypotenuse! The distance the ball will travel is 26.5 %(unit1)% long.	That's right! You used the Pythagorean theorem to find the length of the hypotenuse! The distance of the short cut is 87 %(unit1)% long.	"<%=""""%>"	That's right! You used the Pythagorean theorem to find the length of the hypotenuse! The distance Sam ran to get back to her car is 26 %(unit1)% long.	"<%=""""%>"	"<%=""""%>"	That's right! You used the Pythagorean theorem to find the length of the hypotenuse! The length of hypotenuse 'c' is 2.5 %(unit1)% long.	"<%=""""%>"	"<%=""""%>"	"<%=""""%>"	That's right! You used the Pythagorean theorem to find the length of the hypotenuse! The distance driven on Lauria Way is 5 %(unit1)% long.	"<%=""""%>"	"<%=""""%>"	That's right! You used the Pythagorean theorem to find the length of the hypotenuse! The distance you would walk using the shortcut is 106^0.5 %(unit1)% long.
%(-8309014261758644724)%	"<%=ifThen(hasValue(-),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(cc),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(cc),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(cc),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(aa),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(cc),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(aa),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(bb),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(cc),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(bb),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(bb),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(aa),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(cc),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(aa),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(bb),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"	"<%=ifThen(hasValue(cc),"""",""Are you sure you are ready to do this part? Is the value for this area really give in the problem? Or do you need to solve for it?"")%>"
%(7511055865232940962)%	-	Enter 8 into the highlighted area.	Enter 22.5 into the highlighted area.	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(63,q1a),""The other leg given in the problem is the distance between the palm tree and the treasure (%(ansQ1b)% %(unt1)%)."",""The other leg given in the problem is the %(heading1)% (63 %(unt1)%).""),""Why don't you try choosing the distance between the palm tree and the treasure (%(ansQ1b)% %(unt1)%) as your leg 'b'?"")%>"	Enter 12 into the highlighted area.	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(10,q1a),""The other leg given in the problem is the distance Sam walked due north (%(ansQ1b)% %(unt1)%)."",""The other leg given in the problem is the %(heading1)% (10 %(unt1)%).""),""Why don't you try choosing the distance Sam walked due north (%(ansQ1b)% %(unt1)%) as your leg 'b'?"")%>"	Enter 4 into the highlighted area.	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |9. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(2,q1a),""The other leg given in the problem is the length of leg 'b' (%(ansQ1b)% %(unt1)%)."",""The other leg given in the problem is the %(heading1)% (2 %(unt1)%).""),""Why don't you try choosing the length of leg 'b' (%(ansQ1b)% %(unt1)%) as your leg 'b'?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |64. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |49. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 40 into the highlighted area.	"<%=ifThen(hasValue(q1a),ifThen(expressionMatches(3,q1a),""The other leg given in the problem is the distance driven on Elm St. (%(ansQ1b)% %(unt1)%)."",""The other leg given in the problem is the %(heading1)% (3 %(unt1)%).""),""Why don't you try choosing the distance driven on Elm St. (%(ansQ1b)% %(unt1)%) as your leg 'b'?"")%>"	Enter 6 into the highlighted area.	"<%=ifThen(hasValue(aa,bb,cc),""Take the square root by entering the following expression into the highlighted box: |25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the unknown leg. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"First vertical path is 6 yard long, and the second path is 3 yards long. Therefore, the total distance of the vertical path (walking south) is: 6 + 3&nbsp;= 9 yards."
%(-8496892435487962678)%	-	"<%=ifThen(hasValue(q1a,q1b),concat(""Use "",q1a,"" ft as 'a'. Get the value of 'a^2' by squaring 'a'. Enter either '"",q1a,""^2' or '"",q1a,""*"",q1a,""'.""),"""")%>"	"<%=ifThen(hasValue(q1a,q1b),concat(""Use "",q1a,"" ft as 'a'. Get the value of 'a^2' by squaring 'a'. Enter either '"",q1a,""^2' or '"",q1a,""*"",q1a,""'.""),"""")%>"	"<%=ifThen(hasValue(q1a,q1b),concat(""Use "",q1a,"" yd as 'a'. Get the value of 'a^2' by squaring 'a'. Enter either '"",q1a,""^2' or '"",q1a,""*"",q1a,""'.""),"""")%>"	"<%=ifThen(hasValue(q1b,q1c), ifThen(hasValue(bb,cc),concat(""Right now, you have: '_ + "",bb,""&nbsp;= "",cc,"". Find '_' by applying the same idea shown in the previous hint: "",cc,""-"",bb,"".""),""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'a^2' if you do not know the values of the other terms, 'b^2' and 'c^2'. Fill them in and then come back to this area.""),"""")%>"	"<%=ifThen(hasValue(q1a,q1b),concat(""Use "",q1a,"" km as 'a'. Get the value of 'a^2' by squaring 'a'. Enter either '"",q1a,""^2' or '"",q1a,""*"",q1a,""'.""),"""")%>"	"<%=ifThen(hasValue(q1b,q1c), ifThen(hasValue(bb,cc),concat(""Right now, you have: '_ + "",bb,""&nbsp;= "",cc,"". Find '_' by applying the same idea shown in the previous hint: "",cc,""-"",bb,"".""),""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'a^2' if you do not know the values of the other terms, 'b^2' and 'c^2'. Fill them in and then come back to this area.""),"""")%>"	"<%=ifThen(hasValue(q1a,q1c),""In the left-box of the table above, you entered 4 kilometers. This is your 'a'. Square it to get the value of 'a^2': enter either '4^2' or '4*4'."",""We cannot give you more hints because not all givens are entered correctly in the table above."")%>"	"<%=ifThen(hasValue(q1a,q1b),concat(""Use "",q1a,"" mm as 'a'. Get the value of 'a^2' by squaring 'a'. Enter either '"",q1a,""^2' or '"",q1a,""*"",q1a,""'.""),"""")%>"	"<%=ifThen(hasValue(q1a,q1c),""In the left-box of the table above, you entered 15 inches. This is your 'a'. Square it to get the value of 'a^2': enter either '15^2' or '15*15'."",""We cannot give you more hints because not all givens are entered correctly in the table above."")%>"	"<%=ifThen(hasValue(q1a,q1c),""In the left-box of the table above, you entered 24 miles. This is your 'a'. Square it to get the value of 'a^2': enter either '24^2' or '24*24'."",""We cannot give you more hints because not all givens are entered correctly in the table above."")%>"	"<%=ifThen(hasValue(q1b,q1c), ifThen(hasValue(bb,cc),concat(""Right now, you have: '_ + "",bb,""&nbsp;= "",cc,"". Find '_' by applying the same idea shown in the previous hint: "",cc,""-"",bb,"".""),""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'a^2' if you do not know the values of the other terms, 'b^2' and 'c^2'. Fill them in and then come back to this area.""),"""")%>"	"<%=ifThen(hasValue(q1a,q1b),concat(""Use "",q1a,"" km as 'a'. Get the value of 'a^2' by squaring 'a'. Enter either '"",q1a,""^2' or '"",q1a,""*"",q1a,""'.""),"""")%>"	"<%=ifThen(hasValue(q1b,q1c), ifThen(hasValue(bb,cc),concat(""Right now, you have: '_ + "",bb,""&nbsp;= "",cc,"". Find '_' by applying the same idea shown in the previous hint: "",cc,""-"",bb,"".""),""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'a^2' if you do not know the values of the other terms, 'b^2' and 'c^2'. Fill them in and then come back to this area.""),"""")%>"	"<%=ifThen(hasValue(q1a,q1c),""In the left-box of the table above, you entered 12 kilometers. This is your 'a'. Square it to get the value of 'a^2': enter either '12^2' or '12*12'."",""We cannot give you more hints because not all givens are entered correctly in the table above."")%>"	"<%=ifThen(hasValue(q1a,q1c),""In the left-box of the table above, you entered 5 yards. This is your 'a'. Square it to get the value of 'a^2': enter either '5^2' or '5*5'."",""We cannot give you more hints because not all givens are entered correctly in the table above."")%>"
%(-4691501284570703497)%	-	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	What information is given in this question? Is the length of hypotenuse 'c' given in the question?	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	What information is given in this question? Is the distance Sam ran to get back to her car given in the question?	What information is given in this question? Is the distance Sam ran to get back to her car given in the question?	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	What information is given in this question? Is the length of hypotenuse 'c' given in the question?	What information is given in this question? Is the distance from the plane to the airport given in the question?	What information is given in this question? Is the length of the anchor chain given in the question?	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"	What information is given in this question? Is the distance driven on Lauria Way given in the question?	What information is given in this question? Is the distance driven on Lauria Way given in the question?	"<%=ifThen(hasValue(cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of the hypotenuse given in the question? No! You must solve for the hypotenuse. What method can you use?"")%>"
